CNPJ_CIA;DT_REFER;VERSAO;DENOM_CIA;CD_CVM;GRUPO_DFP;MOEDA;ESCALA_MOEDA;ORDEM_EXERC;DT_INI_EXERC;DT_FIM_EXERC;CD_CONTA;DS_CONTA;VL_CONTA
07.628.528/0001-59;2019-06-30;1;BRASILAGRO - CIA BRAS DE PROP AGRICOLAS;20036;DF Consolidado - Demonstração do Resultado;REAL;MILHAR;PENÚLTIMO;2017-07-01;2018-06-30;3.04.02;Despesas Gerais e Administrativas;-34945.00
07.628.528/0001-59;2019-06-30;1;BRASILAGRO - CIA BRAS DE PROP AGRICOLAS;20036;DF Consolidado - Demonstração do Resultado;REAL;MILHAR;ÚLTIMO;2018-07-01;2019-06-30;3.04.02;Despesas Gerais e Administrativas;-38812.00
07.628.528/0001-59;2019-06-30;1;BRASILAGRO - CIA BRAS DE PROP AGRICOLAS;20036;DF Consolidado - Demonstração do Resultado;REAL;MILHAR;PENÚLTIMO;2017-07-01;2018-06-30;3.04.03;Perdas pela Não Recuperabilidade de Ativos;0.00
07.628.528/0001-59;2019-06-30;1;BRASILAGRO - CIA BRAS DE PROP AGRICOLAS;20036;DF Consolidado - Demonstração do Resultado;REAL;MILHAR;ÚLTIMO;2018-07-01;2019-06-30;3.04.03;Perdas pela Não Recuperabilidade de Ativos;0.00
07.628.528/0001-59;2019-06-30;1;BRASILAGRO - CIA BRAS DE PROP AGRICOLAS;20036;DF Consolidado - Demonstração do Resultado;REAL;MILHAR;PENÚLTIMO;2017-07-01;2018-06-30;3.04.04;Outras Receitas Operacionais;0.00
07.628.528/0001-59;2019-06-30;1;BRASILAGRO - CIA BRAS DE PROP AGRICOLAS;20036;DF Consolidado - Demonstração do Resultado;REAL;MILHAR;ÚLTIMO;2018-07-01;2019-06-30;3.04.04;Outras Receitas Operacionais;0.00
07.628.528/0001-59;2019-06-30;1;BRASILAGRO - CIA BRAS DE PROP AGRICOLAS;20036;DF Consolidado - Demonstração do Resultado;REAL;MILHAR;PENÚLTIMO;2017-07-01;2018-06-30;3.04.05;Outras Despesas Operacionais;35432.00
07.628.528/0001-59;2019-06-30;1;BRASILAGRO - CIA BRAS DE PROP AGRICOLAS;20036;DF Consolidado - Demonstração do Resultado;REAL;MILHAR;ÚLTIMO;2018-07-01;2019-06-30;3.04.05;Outras Despesas Operacionais;-1064.00
07.628.528/0001-59;2019-06-30;1;BRASILAGRO - CIA BRAS DE PROP AGRICOLAS;20036;DF Consolidado - Demonstração do Resultado;REAL;MILHAR;PENÚLTIMO;2017-07-01;2018-06-30;3.04.06;Resultado de Equivalência Patrimonial;14671.00
07.628.528/0001-59;2019-06-30;1;BRASILAGRO - CIA BRAS DE PROP AGRICOLAS;20036;DF Consolidado - Demonstração do Resultado;REAL;MILHAR;ÚLTIMO;2018-07-01;2019-06-30;3.04.06;Resultado de Equivalência Patrimonial;1102.00
07.628.528/0001-59;2019-06-30;1;BRASILAGRO - CIA BRAS DE PROP AGRICOLAS;20036;DF Consolidado - Demonstração do Resultado;REAL;MILHAR;PENÚLTIMO;2017-07-01;2018-06-30;3.05;Resultado Antes do Resultado Financeiro e dos Tributos;160813.00
07.628.528/0001-59;2019-06-30;1;BRASILAGRO - CIA BRAS DE PROP AGRICOLAS;20036;DF Consolidado - Demonstração do Resultado;REAL;MILHAR;ÚLTIMO;2018-07-01;2019-06-30;3.05;Resultado Antes do Resultado Financeiro e dos Tributos;186876.00
07.628.528/0001-59;2019-06-30;1;BRASILAGRO - CIA BRAS DE PROP AGRICOLAS;20036;DF Consolidado - Demonstração do Resultado;REAL;MILHAR;PENÚLTIMO;2017-07-01;2018-06-30;3.06;Resultado Financeiro;-8556.00
07.628.528/0001-59;2019-06-30;1;BRASILAGRO - CIA BRAS DE PROP AGRICOLAS;20036;DF Consolidado - Demonstração do Resultado;REAL;MILHAR;ÚLTIMO;2018-07-01;2019-06-30;3.06;Resultado Financeiro;12922.00
07.628.528/0001-59;2019-06-30;1;BRASILAGRO - CIA BRAS DE PROP AGRICOLAS;20036;DF Consolidado - Demonstração do Resultado;REAL;MILHAR;PENÚLTIMO;2017-07-01;2018-06-30;3.06.01;Receitas Financeiras;129323.00
07.628.528/0001-59;2019-06-30;1;BRASILAGRO - CIA BRAS DE PROP AGRICOLAS;20036;DF Consolidado - Demonstração do Resultado;REAL;MILHAR;ÚLTIMO;2018-07-01;2019-06-30;3.06.01;Receitas Financeiras;310538.00
07.628.528/0001-59;2019-06-30;1;BRASILAGRO - CIA BRAS DE PROP AGRICOLAS;20036;DF Consolidado - Demonstração do Resultado;REAL;MILHAR;PENÚLTIMO;2017-07-01;2018-06-30;3.06.02;Despesas Financeiras;-137879.00
